"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,19.9969692230225
22.704451583391,22.7047653198242
25.7746060851273,25.7754974365234
29.2599147970374,29.2609367370605
33.2165159421741,33.2182006835937
37.7081388989014,37.7121734619141
42.8071306964945,42.8084449768066
48.5956213161225,48.5981636047363
55.1668465668354,55.1681022644043
62.6266498442538,62.6237716674805
71.0951869609421,71.0882186889648
80.7088615083421,80.7097091674805
91.6225219233381,91.6140670776367
104.011955647831,104.016120910645
118.076720554999,118.098167419434
134.043359248328,134.044998168945
152.169048006438,152.173294067383
172.745739147644,172.691925048828
196.104863535738,196.103454589844
222.622668970734,222.619537353516
252.726280450565,252.731292724609
286.900579917018,286.900573730469
325.696016298637,325.804321289062
369.737471647787,369.752532958984
419.734326179629,419.726501464844
476.491884331632,476.488067626953
540.924345884314,540.922302246094
614.069531070393,614.07568359375
697.105596851168,697.099914550781
791.370013610912,791.366821289062
898.381107928822,898.388977050781
1019.86251842016,1019.84283447266
1157.77095855928,1128.56005859375
1314.32773366327,1304.63684082031
1492.05451968329,1491.60864257812
1693.81398009645,1693.63903808594
1922.85587511853,136.869430541992
2182.86940592338,2116.146484375
2478.04263698265,2430.48974609375
2813.12995364755,1339.64697265625
3193.52864151889,2804.5625
3625.36582107691,796.909057617188
4115.59713783606,3117.16162109375
4672.11879763707,1409.43395996094
5303.8947516401,3739.54052734375
6021.10107960072,3354.35180664062
6835.28989702489,65.3527908325195
7759.57542627217,3622.8642578125
8808.84522867335,3510.64624023437
9999.99999999995,78.7272415161133

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.114479067340525
22.704451583391,0.137373479823473
25.7746060851273,0.108549221146498
29.2599147970374,0.139745419951327
33.2165159421741,0.127382432322774
37.7081388989014,0.136405240366403
42.8071306964945,0.116466547328938
48.5956213161225,0.120416626520186
55.1668465668354,0.108489506943349
62.6266498442538,0.0909519429133505
71.0951869609421,0.0509728199334862
80.7088615083421,0.0199186503796449
91.6225219233381,-0.0136212471727988
104.011955647831,-0.0235519109594386
118.076720554999,-0.0797898892603901
134.043359248328,-0.193787256775091
152.169048006438,-0.257204942549881
172.745739147644,-0.356229269485531
196.104863535738,-0.500969636881033
222.622668970734,-0.636362293343834
252.726280450565,-0.868111069705865
286.900579917018,-1.13335495778409
325.696016298637,-1.52443058794623
369.737471647787,-1.97647927046928
419.734326179629,-2.52503317257495
476.491884331632,-3.25550655170213
540.924345884314,-4.24749912914434
614.069531070393,-5.50868320447263
697.105596851168,-7.1892606277034
791.370013610912,-9.55620051462289
898.381107928822,-13.033134166034
1019.86251842016,-18.5545670111949
1157.77095855928,-28.5790311226983
1314.32773366327,-26.9576611988685
1492.05451968329,-24.0905705197833
1693.81398009645,-27.2568923982841
1922.85587511853,-39.2111765189981
2182.86940592338,-29.0544468270921
2478.04263698265,-29.437530497364
2813.12995364755,-38.2106185365714
3193.52864151889,-32.2043639867727
3625.36582107691,-36.4396167621818
4115.59713783606,-33.4110590690674
4672.11879763707,-37.753805399484
5303.8947516401,-39.5653598345011
6021.10107960072,-35.9247259760188
6835.28989702489,-40.6631619681986
7759.57542627217,-39.8010233386203
8808.84522867335,-42.5458959232618
9999.99999999995,-36.4713168855576

