"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,19.9920215606689
22.704451583391,22.6926403045654
25.7746060851273,25.7785091400146
29.2599147970374,29.2623538970947
33.2165159421741,33.2166290283203
37.7081388989014,37.705249786377
42.8071306964945,42.8087425231934
48.5956213161225,48.584415435791
55.1668465668354,55.1700019836426
62.6266498442538,62.6304206848145
71.0951869609421,71.0921249389648
80.7088615083421,80.703987121582
91.6225219233381,91.6256484985352
104.011955647831,104.064880371094
118.076720554999,118.076583862305
134.043359248328,134.023422241211
152.169048006438,152.189224243164
172.745739147644,172.778030395508
196.104863535738,196.083129882812
222.622668970734,222.627868652344
252.726280450565,252.705581665039
286.900579917018,286.879913330078
325.696016298637,325.746429443359
369.737471647787,369.727752685547
419.734326179629,419.774261474609
476.491884331632,476.277160644531
540.924345884314,540.610595703125
614.069531070393,614.51123046875
697.105596851168,697.084411621094
791.370013610912,791.077209472656
898.381107928822,898.469299316406
1019.86251842016,1019.72650146484
1157.77095855928,1157.4541015625
1314.32773366327,1314.50805664062
1492.05451968329,1491.2021484375
1693.81398009645,1693.63952636719
1922.85587511853,1922.67626953125
2182.86940592338,2163.103515625
2478.04263698265,2391.67211914062
2813.12995364755,2747.34155273437
3193.52864151889,1651.42395019531
3625.36582107691,2569.73486328125
4115.59713783606,1732.77197265625
4672.11879763707,1635.80126953125
5303.8947516401,1799.05187988281
6021.10107960072,1699.19970703125
6835.28989702489,629.684387207031
7759.57542627217,393.946899414062
8808.84522867335,664.744384765625
9999.99999999995,285.531036376953

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,-0.0497207313349411
22.704451583391,-0.212930948260666
25.7746060851273,-0.252989198534666
29.2599147970374,-0.261415712576144
33.2165159421741,-0.275750607830813
37.7081388989014,-0.342160551665956
42.8071306964945,-0.461814946278654
48.5956213161225,-0.687971350687503
55.1668465668354,-0.875836497202281
62.6266498442538,-1.06089311937311
71.0951869609421,-1.28507614223276
80.7088615083421,-1.60493589331831
91.6225219233381,-2.0789090691151
104.011955647831,-2.54570769269082
118.076720554999,-2.92541742771619
134.043359248328,-3.55752036515596
152.169048006438,-4.37785768701728
172.745739147644,-5.20968973353005
196.104863535738,-6.0766662583959
222.622668970734,-6.83642032074783
252.726280450565,-7.68083420596443
286.900579917018,-8.62991199720665
325.696016298637,-9.6817097951553
369.737471647787,-10.7178481532677
419.734326179629,-11.768085018671
476.491884331632,-12.8716785304443
540.924345884314,-13.9540893108878
614.069531070393,-15.0336305865158
697.105596851168,-16.1511335011203
791.370013610912,-17.2482851142482
898.381107928822,-18.3983370540231
1019.86251842016,-19.6217008406126
1157.77095855928,-20.7940895465153
1314.32773366327,-22.2040677866793
1492.05451968329,-23.6426086246186
1693.81398009645,-25.3816003748781
1922.85587511853,-26.8286885980417
2182.86940592338,-28.4420548687986
2478.04263698265,-30.0802171569015
2813.12995364755,-33.1704621085227
3193.52864151889,-32.1459997546557
3625.36582107691,-33.2024541502795
4115.59713783606,-34.7293930769234
4672.11879763707,-34.7356360492136
5303.8947516401,-36.5802625221203
6021.10107960072,-36.953196451211
6835.28989702489,-39.1491810102283
7759.57542627217,-35.8732304681532
8808.84522867335,-36.6513492025023
9999.99999999995,-37.3082929168422

